Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1998,0.0,,,,,0.0,0.0,,,,26.0,,1.0,52.0,26.0,,,,1.0,7.0,27.0,,0.0,,3.0,0.0,,2.0,0.0,,316.0,2926.0,22.0,7.0,68.0,1.0,,,,,3.0,,,,37.0,,,,,,0.0,,,0.0,,108.0,53.0,,2.0,,,57.0,,13.0,,,,11.0,1.0,1.0,,9.0,,0.0,,1237.0,,66.0,,,,,,17.0,,49.0,,,,,,0.0,,,,,1353.0,,,74.0,19.0,,,187.0,29.0,0.0,0.0,17.0,,0.0,,10832.0,,,568.0,17.0,,,,,,,,0.0,74.0,,,,2.0,57.0,0.0,196.0,,,,,,0.0,,,144.0,221.0,,,,,,,,,608.0,2064.0,,0.0,,7.0,1.0,,,1.0,0.0,44.0
1999,152.0,,,,,,,0.0,0.0,,63.0,,25.0,7.0,63.0,,,,0.0,,83.0,0.0,,,,,,,0.0,,35.0,783.0,20.0,0.0,42.0,,,,,0.0,,,,,0.0,,,,,,,,,,,260.0,28.0,,,,,0.0,,3.0,,,,6.0,21.0,30.0,,,,0.0,,350.0,,130.0,,,,,,0.0,,5.0,,,,549.0,,,,3.0,,,1194.0,,,648.0,0.0,,85.0,2085.0,7.0,0.0,,,,0.0,,9221.0,,,6.0,0.0,,,,,,,,0.0,49.0,,0.0,,0.0,5.0,0.0,693.0,,,,,,0.0,,,18.0,31.0,,,,,,,,,584.0,228.0,0.0,0.0,,8.0,0.0,,,2.0,535.0,385.0
2000,198.0,,,,,,,,,,16.0,,11.0,14.0,16.0,,,,,,17.0,,,,,0.0,,,3.0,,29.0,941.0,2.0,,91.0,,,,,,32.0,,,,1.0,,,,,,0.0,20.0,,,,74.0,32.0,,,,,6.0,,0.0,,,,20.0,3.0,4.0,,,,0.0,,78.0,,,,,,,,10.0,,0.0,,,,1672.0,,0.0,6.0,51.0,,,238.0,,,56.0,1.0,,38.0,43.0,0.0,,,,,,,5269.0,,,6.0,6.0,,,,,,,,,8.0,,,,0.0,,2.0,563.0,,,,,,16.0,,,,23.0,,,,,,,,,156.0,172.0,,0.0,,0.0,,,,68.0,303.0,223.0
2001,114.0,,,,,,,,,,20.0,,71.0,7.0,,,,,,,0.0,,,,,,,,0.0,305.0,7.0,390.0,,,4.0,,,,,,,,,,0.0,,,,,,,0.0,,,,160.0,22.0,,,,,0.0,,0.0,,,6.0,6.0,,,,,,,,55.0,,,,0.0,,,,0.0,,,,,,413.0,,0.0,,9.0,,,102.0,,,42.0,11.0,,1.0,119.0,,,,,,,,2897.0,,,0.0,,,,,,,,,0.0,2.0,,,,0.0,,,93.0,,,,,,107.0,,,226.0,130.0,,,6.0,2.0,,,,,52.0,4.0,,,,,,,,232.0,165.0,14.0
2002,,,,,,,,,,,8.0,,13.0,,,,,,,,,,,,,0.0,,,,143.0,8.0,1979.0,,,46.0,,,,,,,,,,,,,,,,,,,,,65.0,11.0,,6.0,,,0.0,,,,,,10.0,,,,,,0.0,,10.0,,,,,,,,0.0,,1.0,,,,0.0,,,,2.0,,,342.0,0.0,,911.0,,,12.0,154.0,,,,,,,,4564.0,,,0.0,,,,,,,,,,,,,,,,,159.0,,,,,,2.0,,,,14.0,,,2.0,,,,,,297.0,133.0,,,,,,,,32.0,12.0,192.0
2003,7.0,,,,,,,,,,18.0,,11.0,,,,,,,,,,,,,,,,1.0,50.0,36.0,989.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,4.0,1.0,,2.0,,,,,,,,,2.0,0.0,0.0,,,,0.0,,,,,,,,,,38.0,,,,,,0.0,,,,119.0,,,102.0,8.0,,34.0,,,11.0,87.0,,,,,,,,1894.0,,,,,,,,,,,,,0.0,,,,0.0,,,56.0,,,,,,13.0,,,7.0,28.0,,,,,,,,,32.0,129.0,,,,,,,,45.0,29.0,35.0
2004,,,,,,,,0.0,,,14.0,0.0,9.0,,,,,,,,0.0,,,,48.0,0.0,,,1.0,9.0,137.0,228.0,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,0.0,,6.0,117.0,,3.0,1.0,,,,,,,,7.0,1.0,0.0,,,,0.0,,15.0,,1.0,,0.0,,,,4.0,,,,,,,,,,205.0,,,110.0,,,4.0,0.0,,57.0,185.0,,0.0,,,,,,2345.0,,,,3.0,,,,,,0.0,,0.0,0.0,,,10.0,1.0,42.0,,26.0,,,,,0.0,16.0,,,272.0,33.0,,,,,,,,,272.0,91.0,,0.0,,,,,,35.0,373.0,9.0
2005,0.0,0.0,,,,,,0.0,0.0,,18.0,0.0,11.0,16.0,,,,,,,0.0,,,0.0,0.0,0.0,,,4.0,6.0,110.0,244.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,51.0,107.0,13.0,399.0,33.0,,,,,,,19.0,6.0,11.0,,,,,0.0,,21.0,,,,,,,0.0,18.0,,,0.0,,,0.0,,,,76.0,,0.0,24.0,70.0,0.0,11.0,,0.0,55.0,174.0,,0.0,0.0,,,0.0,,2272.0,,,,2.0,0.0,0.0,,,,0.0,,,0.0,,,458.0,,0.0,,,,33.0,,,,0.0,0.0,,14.0,15.0,,,,,,,,,94.0,98.0,,0.0,,,0.0,,,28.0,7.0,26.0
2006,,2722.0,,,,,,0.0,,,7.0,,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,2.0,15.0,35.0,426.0,10.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,575.0,,0.0,,0.0,0.0,,107.0,219.0,0.0,0.0,0.0,,,,,,,,3.0,,,,0.0,,0.0,,11.0,,,,,,,,17.0,,,0.0,,,0.0,,,,0.0,,,29.0,0.0,0.0,55.0,2.0,5.0,81.0,127.0,,0.0,0.0,,,,,6300.0,,,,1.0,,,,,,,,0.0,21.0,,1011.0,10.0,,99.0,,,,9.0,,,0.0,0.0,0.0,,71.0,25.0,0.0,,,,,,,,254.0,106.0,,0.0,,,,,,0.0,183.0,61.0
2007,,513.0,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,0.0,,,0.0,1.0,1.0,600.0,133.0,,29.0,,,,,0.0,27.0,,,,,9.0,0.0,,272.0,,0.0,,,0.0,,18.0,311.0,1.0,8.0,,,,,,,,,3.0,0.0,24.0,,0.0,,0.0,,67.0,,,,,,3.0,,7.0,,,,,,,,,,,,,22.0,0.0,,5.0,0.0,0.0,2.0,48.0,,,0.0,0.0,,,,4033.0,,,,0.0,,,,,,,,,21.0,,500.0,24.0,,84.0,,1182.0,,0.0,,0.0,,0.0,1.0,,0.0,1.0,7.0,,,,,,,,65.0,3.0,0.0,0.0,,,0.0,,,,35.0,4.0
2008,22.0,243.0,,,,,,,,,4.0,,5.0,0.0,,,,,,,,,,1.0,,0.0,,,0.0,1.0,0.0,548.0,4.0,,0.0,,,,,,,0.0,,,,0.0,0.0,,23.0,0.0,0.0,,0.0,0.0,,25.0,32.0,0.0,225.0,,,,,,,,27.0,1.0,4.0,11.0,,,,,0.0,113.0,,,,,,0.0,,3.0,,,,,,,,0.0,,5.0,1.0,,102.0,,,26.0,,38.0,70.0,247.0,,0.0,,,,,,5143.0,,,,,,,,,,,,,0.0,,118.0,20.0,,1.0,,16.0,,4.0,,,,0.0,0.0,,,3.0,3.0,,,,,,,,88.0,120.0,,0.0,,,0.0,,,22.0,39.0,2928.0
2009,11.0,88.0,,,,,,,,,0.0,,1.0,,,,,,,,,,,2.0,,0.0,,,0.0,2.0,89.0,237.0,0.0,,,,,,,,,,,,,,,,434.0,,0.0,,,0.0,,9.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,264.0,,0.0,,,,,,2.0,,,,,,,,,,,,,155.0,,,125.0,1.0,3.0,,431.0,,,,0.0,,,,4946.0,,,,,45.0,,,,0.0,,,,0.0,,52.0,0.0,,,,3.0,,,,,,0.0,,,6.0,1.0,2.0,,,,,,,,113.0,23.0,,0.0,,,1.0,,3.0,57.0,80.0,2706.0
2010,10.0,30.0,,,,,,0.0,,,1.0,,8.0,,,,,,,,,,,,,0.0,,,0.0,0.0,657.0,182.0,,,,,,,,1.0,19.0,,0.0,,,,,,21.0,,,,,0.0,,3.0,,,,,,,,,3990.0,,,9.0,,0.0,,,,,,63.0,,1.0,,0.0,,4.0,,0.0,,,,,,,,0.0,,,,,117.0,,,17.0,6.0,,66.0,1712.0,,,,9.0,,,,7543.0,0.0,,,2.0,95.0,,,,,,,0.0,,,,0.0,,,,103.0,,,,,,,,,175.0,3.0,15.0,,,,,,,,59.0,78.0,,0.0,,,0.0,,4.0,,62.0,21.0
2011,44.0,110.0,,,,,,0.0,,,1.0,,4.0,2.0,,,,,,,0.0,,,,15.0,,,0.0,,24.0,783.0,584.0,,,,,,,,0.0,1.0,,336.0,,,,,,,,0.0,,,0.0,,105.0,0.0,,,,,,,,2869.0,,,,12.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,95.0,,,5.0,3.0,,4.0,10.0,,60.0,742.0,,,,,,,,7781.0,219.0,,,3.0,2.0,,,,,,,,,,,,,,,1130.0,,,,,0.0,,,,458.0,0.0,4.0,,,,,,,,11.0,,0.0,0.0,,0.0,,,134.0,,7.0,2.0
2012,0.0,98.0,,,,,,0.0,,,1.0,,3.0,7.0,,,0.0,,,,,,,,0.0,,,,0.0,19.0,5.0,819.0,37.0,,,,,3.0,,,,,68.0,,,,,,,,,,,0.0,,100.0,133.0,,22.0,,,,,,894.0,,,,0.0,4.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,19.0,0.0,,7.0,,,2.0,1.0,,110.0,18.0,,,,0.0,,,,3034.0,8.0,,,14.0,,,,,,,,0.0,0.0,,,0.0,0.0,299.0,,200.0,,,,,,,,,,1.0,0.0,,,,,,,,4.0,135.0,,0.0,,,,,,,2.0,1.0
2013,14.0,86.0,,,,,,0.0,,,17.0,,6.0,,,,,,,,,,,,,0.0,,0.0,1.0,2.0,0.0,491.0,221.0,,,,,0.0,,,,,42.0,,,,,,,,,,,0.0,,0.0,32.0,,28.0,,,,,,593.0,,,54.0,7.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,1.0,,2.0,0.0,,19.0,,,,1.0,0.0,13.0,229.0,,,,,,,,2102.0,23.0,,,0.0,,,,,,,,,,,,,0.0,32.0,,140.0,,,,,,,,,,4.0,0.0,,,,,,,,17.0,27.0,,0.0,,0.0,,,,0.0,,
2014,4.0,3.0,,,,,,0.0,,,9.0,,12.0,,,,,,,,,,,,,0.0,,0.0,0.0,12.0,184.0,372.0,,,,,,0.0,,0.0,,,11.0,,,,,,,,0.0,,,0.0,,243.0,0.0,,2.0,,,,,,296.0,,,21.0,,,,,,0.0,,9.0,,,,,,,,0.0,,,,,,,,0.0,,,,,1.0,,,,1.0,13.0,80.0,755.0,,,,2.0,,,,2231.0,6.0,,,8.0,,,,,,,,0.0,,,,,0.0,,,,167.0,,,,,,,,,11.0,0.0,,,,,,,,,9.0,,0.0,,,,,,,,
2015,8.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,6.0,6.0,276.0,,,,,,0.0,,,,,15.0,,,,0.0,,,,0.0,,,0.0,,8.0,,,,,,,,,322.0,,,4.0,1.0,2.0,,,,,,67.0,,,,,0.0,,,,,,,,,,,0.0,,,12.0,,64.0,,,11.0,2.0,,4.0,186.0,,,0.0,0.0,,,0.0,1304.0,,,,,,,,,,,,,,,,,,,,84.0,47.0,,,,0.0,,,,,1.0,1.0,,,,,,,,144.0,33.0,,0.0,,,,,,,,0.0
2016,5.0,3.0,,,,,,0.0,,,5.0,,13.0,,,,,,,,,,,,,0.0,,,0.0,,,759.0,2.0,,,,,,,,,0.0,27.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,447.0,,,3.0,,0.0,,,,0.0,,80.0,,,,0.0,,,,,,,,,,,,,,,11.0,,2.0,,,46.0,,,6.0,32.0,,0.0,,0.0,,,,2420.0,,,,0.0,,,,,,,,,0.0,,,,,,,548.0,82.0,,,,,,,,,,1.0,,,,,,,,172.0,11.0,,0.0,,,,,164.0,,,1.0
2017,1.0,43.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,1190.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,159.0,,,3.0,,,,,,0.0,,82.0,,,,0.0,,,,,,,,,,,,,,,,,10.0,,,5.0,0.0,,,288.0,,,,0.0,,,,5650.0,,,,2.0,,,,,,0.0,,,,0.0,,,0.0,,,1007.0,353.0,,,,,,,,86.0,,0.0,,,,,,,,99.0,0.0,,0.0,,,,,2261.0,,57.0,
2018,,25.0,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,58.0,972.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,41.0,,,0.0,0.0,0.0,,,,0.0,,78.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,27.0,1.0,,78.0,836.0,,,,0.0,,0.0,0.0,2990.0,,,,6.0,,,,,,,,,,,,,0.0,,,45.0,,,,,,,,,,,0.0,,,,,,,,84.0,90.0,,0.0,,,,,505.0,,74.0,65.0
2019,0.0,,,,,,,0.0,,,9.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,93.0,514.0,,,,,,,,,,,0.0,,,,,,36.0,,,,,,,0.0,,,,,,,,,3.0,,,,0.0,,,,,0.0,,141.0,,,,0.0,,,,,,,,,,,,,,,,,8.0,,,0.0,2.0,,,43.0,,,,,,,0.0,1991.0,,,,8.0,,,,,,,,,,,11.0,,0.0,,,4.0,,,,,,,,,4.0,,1.0,,,,,,,,,5.0,,,,,,,1025.0,,9.0,3.0
2020,,,,,0.0,,,,,,5.0,,6.0,,,,,,,,,,,,,0.0,,,0.0,,73.0,354.0,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,12.0,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,47.0,,,,,,,,857.0,,,,0.0,,,,,,,,,,,0.0,,,,,44.0,,,,,,,,,,2.0,1.0,,,,,,,0.0,,18.0,,,,,,,115.0,,,
2021,,,,,0.0,,,,,,0.0,,23.0,0.0,,0.0,,,,,,,,,,,,,,0.0,23.0,209.0,,,,,,,,,,,,,,,,,7.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,4.0,,,21.0,,,0.0,,,166.0,3604.0,,,,7.0,,,,4159.0,,,,13.0,,,,,,,,,0.0,,0.0,,,,,32.0,,,,,,,,,,5.0,0.0,,,,,,,,0.0,0.0,,,,,,,45.0,,,
