Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BHR,BHS,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CZE,DEU,DJI,DNK,DOM,DZA,ECU,ERI,ESP,EST,ETH,FIN,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MHL,MLI,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SSD,STP,SUR,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TUN,TUR,TUV,TWN,TZA,UGA,UKR,USA,UZB,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
1982,,,,,,,1.0,,,415.0,,3.0,,,,,,,,,6.0,,,,,,,,34.0,5.0,10328.0,,,,,,,,1.0,,,,,,,2.0,,0.0,,18.0,,,1.0,,11051.0,,,,,,,,,,,10391.0,4656.0,,427.0,,1.0,,,16.0,,3498.0,,,,,,,,670.0,,309.0,,,,,,,,,,,2301.0,,,,516.0,,,248.0,,,,,,,,64925.0,,,,930.0,,,,,,,,,201.0,,,,31.0,,,,,,,,,538.0,,,,,638.0,,,,,,,,4071.0,190.0,,,,,57.0,,,11968.0,1403.0,
1983,,,,,,,4.0,,,512.0,1.0,1.0,,,,,,,,,,,,,,,,,,55.0,2977.0,,,,,,,,,,,,218.0,,,2.0,,,,3.0,,,4.0,,14160.0,,,,,,,,,,,13832.0,8542.0,,270.0,,,,,35.0,,1049.0,,,,,,,,183.0,,86.0,,,,,,,,,989.0,,10745.0,,,487.0,2195.0,,,178.0,,2.0,,,,,,65251.0,,,,,,,,,,,,,54.0,,,,14.0,,,,,,,,,,,,,,1497.0,,,,,,,,1816.0,,,,,,392.0,,,4715.0,233.0,
1984,,,,,,,1.0,,,180.0,1.0,1.0,2191.0,,,,,,,,,,,,,,,,,392.0,162.0,,,,,,,,,,,,45.0,,,4.0,,,,1.0,,,5.0,,1015.0,,,,404.0,,,,,,,7921.0,2527.0,,531.0,,,,,55.0,,14.0,,,,,,,,492.0,,,,,,,,,,1795.0,,,521.0,166.0,,,67.0,,3788.0,1667.0,,,,,,,,29324.0,,,,,,,,,,,,,161.0,,,728.0,40.0,,,,,,,,,,,,,,645.0,,,,,,,,2600.0,,,,,,22.0,,,1182.0,,
1985,,,,,,,2.0,,,259.0,1.0,,1149.0,,,,,,,,,,,,,1.0,,,,1158.0,740.0,,,,,,,,,115.0,,,,,,,,,,,,,4.0,,60.0,,2.0,,108.0,,,,,,,4732.0,5808.0,,1208.0,,,,,36.0,,1352.0,,,,,113.0,,,355.0,,,,,,,,,,3759.0,,,3.0,259.0,,,52.0,,,30.0,,,,,,,,45279.0,,,,10.0,,,,,,,,,21.0,,4457.0,2988.0,27.0,,,10199.0,,,,,,,,,,,899.0,,,,,,,,1984.0,,,,,,502.0,,,2742.0,,144.0
1986,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,165.0,1059.0,,,,,,,,2.0,,,,,,,,,,,37.0,,,11.0,,,286.0,,200.0,,1.0,,,,,,11915.0,4208.0,,20.0,,,,,26.0,,839.0,,,,,38.0,,,59.0,,,,,,,,,,1916.0,,,1.0,3734.0,,,55.0,,,91.0,,,,,,,,52738.0,,,,,,,,,,,,,226.0,74.0,,476.0,27.0,8957.0,,15980.0,,,,,1.0,,,,,,213.0,,,,,,,,1231.0,,,,,,525.0,,,120.0,,2.0
1987,,16222.0,,,,,1.0,,,,,,,523.0,,,,,,,,,,,,,,4.0,,94.0,1150.0,,,,,,,,,,,,1507.0,,,2.0,,,,7.0,,,2.0,,,,,6000.0,,,,,,,,659.0,11934.0,,295.0,,2.0,,,34.0,,255.0,,474.0,,,,,,33.0,,,,,,,,,,352.0,,,,1578.0,,,1168.0,,,1290.0,,,1.0,,,2.0,,56105.0,,,,,,,,,,,,,101.0,,,3150.0,63.0,557.0,,,,,,,1.0,,,,,,6353.0,,,,,,,,1892.0,140.0,,6.0,,,216.0,,,37.0,,
1988,,15500.0,,,,,1.0,,,,,,,571.0,,,,,,,,,,,,1.0,,7267.0,,4.0,295.0,,,,,,,,2.0,,,,699.0,,,,,,,,,,10.0,,,,,,,,,,,,,50.0,17162.0,,486.0,,1.0,,,33.0,,,,56.0,,,,,,68.0,,154.0,,,,,,,,,,,,575.0,,6.0,1324.0,,,137.0,,1.0,,,,,,53920.0,,,,,,,,,,,,,70.0,,,390.0,19.0,,,,,,,,,,,,,1.0,3418.0,,,,,,,,5267.0,,,9.0,,,343.0,,,,,
1989,,17601.0,,,,,,,,,,,,94.0,,,,,,,,,,,1.0,,,5628.0,,4.0,99.0,,,,,,,,1.0,,,,393.0,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,67.0,5640.0,,5222.0,,,,,95.0,,918.0,,47.0,,,133.0,,,28.0,,,,,,,,,,,597.0,,371.0,700.0,,8351.0,393.0,,166.0,1078.0,,,1.0,141.0,,,,54104.0,,,,,,,,,,,,,1.0,,,,39.0,,,,,3953.0,,,,,,,,,,,,,,,,,2150.0,,,,,,143.0,,,,44.0,
1990,,9527.0,,,,,,2.0,,82.0,,,,82.0,,,,,,,,,,,,,,644.0,,16.0,468.0,,,,,,,,1.0,,1.0,,1299.0,,,11.0,,,,6.0,34.0,,6.0,,2937.0,,,,,,,,,,,155.0,3583.0,,178.0,,,,2.0,73.0,,,,5.0,,,,,,,,,,4573.0,,,,,,,,,4152.0,,,13457.0,2071.0,,,,,3.0,,23888.0,,5.0,,74764.0,,,,,,,,,,,270.0,49.0,,,,,26.0,,,,,804.0,,,,,,,,,,,,,,,42.0,,2230.0,,,7.0,,,358.0,,,,3717.0,
1991,,8590.0,,,,,,,,3.0,,7474.0,537.0,8.0,,,,,206.0,2103.0,,422.0,,,2.0,,41.0,210.0,604.0,4026.0,4066.0,,11979.0,,,,,,,,,,,46320.0,,1.0,,,,7.0,,,8.0,,13172.0,,,,,,3674.0,,17.0,,,6202.0,6993.0,,1892.0,877.0,,,,90.0,,,,770.0,,113.0,,,,132.0,,70.0,,,,,,2690.0,,,924.0,,7847.0,,,8088.0,506.0,,3238.0,59478.0,1.0,,,30648.0,,,,595334.0,,1178.0,322562.0,,,,,,,,226.0,78.0,679.0,,,,34.0,,947.0,,,3.0,,,,,,,13915.0,2396.0,,,,,,,,,5676.0,279.0,75.0,26.0,,15.0,52.0,,,10.0,13154.0,
